x,y
25.0,0.0
28.129,1.545
31.18,2.939
34.08,4.045
36.756,4.755
39.142,5.0
41.18,4.755
42.82,4.045
44.021,2.939
44.754,1.545
45.0,0.0
44.754,-1.545
44.021,-2.939
42.82,-4.045
41.18,-4.755
39.142,-5.0
36.756,-4.755
34.08,-4.045
31.18,-2.939
28.129,-1.545
25.0,-0.0
21.871,1.545
18.82,2.939
15.92,4.045
13.244,4.755
10.858,5.0
8.82,4.755
7.18,4.045
5.979,2.939
5.246,1.545
5.0,0.0
5.246,-1.545
5.979,-2.939
7.18,-4.045
8.82,-4.755
10.858,-5.0
13.244,-4.755
15.92,-4.045
18.82,-2.939
21.871,-1.545
25.0,-0.0
