x,y
57.0,5.0
56.226,9.746
54.452,14.158
51.787,18.029
48.38,21.186
44.412,23.493
40.088,24.859
35.624,25.24
31.238,24.643
27.142,23.119
23.524,20.766
20.548,17.716
18.34,14.136
16.988,10.21
16.535,6.139
16.978,2.121
18.273,-1.65
20.334,-4.999
23.041,-7.776
26.244,-9.863
29.775,-11.177
33.455,-11.679
37.1,-11.366
40.536,-10.278
43.602,-8.491
46.162,-6.112
48.106,-3.275
49.361,-0.131
49.886,3.157
49.681,6.426
48.778,9.517
47.246,12.287
45.178,14.613
42.695,16.395
39.932,17.567
37.032,18.093
34.142,17.972
31.403,17.232
28.941,15.934
26.867,14.161
25.267,12.019
24.2,9.627
23.696,7.113
23.757,4.604
24.356,2.223
25.441,0.081
26.937,-1.726
28.751,-3.125
30.781,-4.066
32.914,-4.524
35.042,-4.5
37.059,-4.018
38.869,-3.126
40.395,-1.889
41.575,-0.387
